NAME,ALTNAME,URL
Office,MS Office,https://www.microsoft365.com/?auth=1
Onedrive,MS Onedrive,https://onedrive.live.com/?authkey=%21AooXxyFs-ikCJLo&id=FFE4E05920F7A6B9%2119997&cid=FFE4E05920F7A6B9
Google Calandar,Calandar,https://calendar.google.com/calendar/u/0/
LFILS658 Drive,Google Drive (LFILS658),https://drive.google.com/drive/u/0/my-drive
LFILSON Drive,Google Drive (LFILSON),https://drive.google.com/drive/u/1/my-drive
MyNMC,NMC,http://my.nmc.edu/
NMC Email,Gmail (NMC),https://mail.nmc.edu/
NMC Drive,Google Drive (NMC),https://drive.google.com/a/mail.nmc.edu
Canvas,Moodle (Canvas),https://nmc.instructure.com/login/saml
LFILS658,LFILS658 Home,http://lfils658.atwebpages.com/
Awardspace,Awardspace.com,https://cp1.awardspace.net/beta/login/
TEXT INVADERS,TI-GAME,http://ti-game.mywebcommunity.org/
gCaptian,gCaptian,https://gcaptain.com/
Boatnerd,Boatnerd,https://boatnerd.com/
Behance,Behance,https://behance.net/lfils658/
USCG Questions from Jule-III,Jule III,http://jule-iii.com/uscg/
USCGQ,USCGQ,https://www.uscgq.com/
AMP-WHAT,&what;,http://www.amp-what.com/
Google,Google,https://google.com/
